"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Tradenames","Manufacturers","Publisher","Sponsors","Conference name","Conference date","Conference location","Conference code","Language of Original Document","Document Type","Publication Stage","Open Access","Source","EID"
"Murphy, A.; Alqassab, Y.; Chen, C.T.-B.; Laamoumi, O.; McKay, M.; Nogueira, N.; del Valle Pacheco, I.C.; Saijo, M.; Sordello, M.; Valentino, M.","Murphy, Andrew (59696752100); Alqassab, Yaqoob (57222008898); Chen, Chia Tian Brearne (59695892500); Laamoumi, Omar (59697401500); McKay, Matthew (59696752200); Nogueira, Natasha F. (57208005010); del Valle Pacheco, Isi Casas (59662235200); Saijo, Masaru (57192719411); Sordello, Maura (59696972100); Valentino, Miriana (59696752300)","59696752100; 57222008898; 59695892500; 59697401500; 59696752200; 57208005010; 59662235200; 57192719411; 59696972100; 59696752300","Knowledge Continuity in Space Organizations: Adaptive Strategies for Successful Intergenerational Knowledge Sharing","2024","Proceedings of the International Astronautical Congress, IAC","","","","140","157","0","10.52202/078376-0014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000208586&doi=10.52202%2F078376-0014&partnerID=40&md5=7264f5bf2c55b158d32f79c4399609fc","In the vast expanse of space exploration, the management and transmission of knowledge within space organizations represents a significant challenge. This research focuses on effective knowledge sharing across generational divides, and exploring the critical role of cultivating essential soft skills that facilitate knowledge transfers and foster a culture of learning and innovation. The recommendations provided in this paper delve into the evolving landscape of Knowledge Management (KM) amidst the obstacles and opportunities presented by digital transformation and workforce dynamics. As space organizations navigate through the complexities of high turnover rates, impending waves of retirement, and the integration of diverse generational cohorts, the urgency for a robust KM strategy becomes paramount. To ensure operational stability and continuity of knowledge, the proposed strategy will simultaneously prioritize soft skills alongside technical knowledge, as the retention of both are crucial for ensuring successful knowledge continuity across generations. The study advocates for a knowledge-sharing culture within the space industry that merges Young Professionals’ (YP) fresh perspectives with senior professionals’ tacit and explicit knowledge through mentorship. Such a reciprocal workforce dynamic not only strengthens the KM framework but also bolsters organizational resilience. This approach invites contributions from all levels, enhancing operational stability and equipping organizations for future challenges. By promoting an adaptable, dynamic environment, this research proposes innovative practices to foster continuous learning and inclusivity, thereby expanding the knowledge base and positioning space organizations to be better prepared for future advancements and challenges. In an agile-aerospace context, adapting technologies such as Artificial Intelligence (AI) may significantly enhance the capture and dissemination of tacit and explicit knowledge. By emphasizing the centrality of end-users and stakeholders, there is advocacy for strategies that prioritize user engagement. This leads to the tailored delivery of knowledge, accommodating diverse learning preferences within the KM framework. This paper emerges from a collaboration among ten YPs from seven countries around the world, focused on providing recommendations on how KM can be improved within space organizations, as a part of the International Project/Programme Management Committee (IPMC) YP workshop. By converging the perspectives of YPs from around the globe, these recommendations offer fresh insights into the symbiotic relationship between technology, soft skills, and KM strategies in the unique context of space organizations. These aim to contribute to the exploration of emerging trends, innovations, and practical challenges in KM, creating a foundation for a future where knowledge is more freely exchanged across new frontiers. © 2024 by Mr. Andrew Murphy.","intergenerational gap; Knowledge Management; mentorship; organizational resilience; soft skills","Analytic hierarchy process; Budget control; Cost reduction; Decision making; Empowerment of personnel; Human resource management; Information management; Knowledge acquisition; Project management; Intergenerational gap; Knowledge management strategy; Knowledge-sharing; Mentorship; Operational stability; Organisational; Organizational resilience; Soft skills; Space organizations; Young professionals; Knowledge representation","","","International Astronautical Federation, IAF","","57th IAA Symposium on Safety, Quality and Knowledge Management in Space Activities at the 75th International Astronautical Congress, IAC 2024","2024-10-14 through 2024-10-18","Milan","206674","English","Conference paper","Final","","Scopus","2-s2.0-105000208586"
"Mao, Y.; Ma, Z.; Yang, L.; Liu, X.; He, P.; Wang, N.; Chai, B.","Mao, Yuanhong (57216106951); Ma, Zhong (55352493600); Yang, Liang (59696242600); Liu, Xi (57952031000); He, Pengchao (57952471600); Wang, Ning (58264509400); Chai, Bo (57971601900)","57216106951; 55352493600; 59696242600; 57952031000; 57952471600; 58264509400; 57971601900","Intelligent Health Management Platform for Aerospace Electronic Systems","2024","Proceedings of the International Astronautical Congress, IAC","","","","466","473","0","10.52202/078376-0047","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000141871&doi=10.52202%2F078376-0047&partnerID=40&md5=885218a26e5022ad6e81c969dc80a62e","With the increasing complexity and integration of electronic systems in spacecraft, the maintenance strategy for aerospace equipment electronic systems needs to evolve from simple state detection to comprehensive health management. The shift from traditional passive post-maintenance activities to proactive and predictive maintenance activities is essential to reduce the overall lifecycle costs of aerospace equipment. Artificial intelligence algorithms, particularly deep learning, have been widely applied in computer vision and natural language processing, achieving significant success in recent years. Data-driven deep learning methods can extract high-level semantic representations through multi-layer convolution architectures. As monitoring data grows, the potential for implementing new-generation artificial intelligence health management has emerged. The health management platform we have developed selects key representation parameters for electronic system failures and health states and samples, transmits, and stores these parameters with minimal increase in system complexity. Artificial intelligence can primarily address several aspects of spacecraft electronic systems. Firstly, anomaly detection focuses on determining the regular operation of electronic devices. Since anomalies typically do not have fixed patterns and occur infrequently, techniques such as autoencoders and generative adversarial networks are used to reconstruct normal working states to identify anomalies. Furthermore, since anomaly states are few and isolated, clustering techniques can identify high-dimensional anomaly points or intervals in complex scenarios. Secondly, fault diagnosis involves classifying fault patterns and identifying the causes of failures. By establishing deep neural network learning models, fault pattern classification can better identify the mapping relationship between vast data and health conditions, enhancing diagnostic capabilities. Knowledge graphs organize information such as design instructions, parameters, structures, and functional requirements of electronic systems into a structured semantic network, facilitating rapid fault localization. Fault tracing and reasoning strategies based on knowledge graphs guide automatic recovery and manual repair of electronic systems. Lastly, degradation trend prediction technology forecasts electronic systems’ degradation trends and remaining service life based on historical and current monitoring information through time-series deep networks. In electronic system degradation trend prediction, neural network models based on self-attention mechanisms, such as Transformer or its derivative models, extract temporal features through self-attention mechanisms from running state data as sequential inputs and then perform classification or regression predictions. Through continuous research and improvement, our aerospace electronic health management platform can provide more comprehensive and accurate analysis and prediction capabilities for the health management of electronic systems, contributing to the efficient and reliable operation of aerospace equipment. © © 2024 by the International Astronautical Federation (IAF).","Anomaly detection; Characteristic parameters; Degradation prediction; Electronic system; Fault diagnosis; Health management","Acoustic surface wave filters; Audio frequency amplifiers; Circuit oscillations; Circular waveguides; Compandor circuits; Computer debugging; Continuous time systems; Crystal oscillators; Differential amplifiers; Electron tubes; Feedback amplifiers; Fiber amplifiers; Intermediate frequency amplifiers; Knowledge acquisition; Laser tuning; Lasers; Light modulators; Matched filters; Microelectrodes; Microwave amplifiers; Microwave circuits; Microwave circulators; Microwave filters; Microwave oscillators; Millimeter wave devices; Modems; Operational amplifiers; Parametric amplifiers; Parametric oscillators; Phonographs; Planar waveguides; Plasma filled waveguides; Power amplifiers; Pulse amplifiers; Rectangular waveguides; Relaxation oscillators; Signal receivers; Telecommunication repeaters; Variable frequency oscillators; Variable gain amplifiers; Aerospace electronics; Aerospace equipments; Anomaly detection; Characteristics parameters; Degradation predictions; Degradation trend; Electronics system; Faults diagnosis; Health management; Management platforms; Electrochemical electrodes","","","International Astronautical Federation, IAF","","57th IAA Symposium on Safety, Quality and Knowledge Management in Space Activities at the 75th International Astronautical Congress, IAC 2024","2024-10-14 through 2024-10-18","Milan","206674","English","Conference paper","Final","","Scopus","2-s2.0-105000141871"
"Li, X.; Zheng, J.; Su, Z.; Chen, Y.; Wang, Y.; Chen, C.; Zhao, Y.; Wang, K.","Li, Xiaomeng (57462345200); Zheng, Jingrong (57217307092); Su, Zhantao (57462345100); Chen, Yuxin (58883773400); Wang, Yifeng (58883858200); Chen, Chen (57485761000); Zhao, Yueling (59692925500); Wang, Kun (59692925600)","57462345200; 57217307092; 57462345100; 58883773400; 58883858200; 57485761000; 59692925500; 59692925600","Construction of Knowledge Graph of Substation Main Equipment Based on LLM","2024","2024 3rd Asia Power and Electrical Technology Conference, APET 2024","","","","749","750","4","10.1109/APET63768.2024.10882850","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000013415&doi=10.1109%2FAPET63768.2024.10882850&partnerID=40&md5=82d5dc8c99c0d522861ffbfbd5690f59","At present, the digital transformation and upgrading of power grid, and the rapid development of intelligent health management technology of power substation main equipment, there are problems of weak information correlation and low efficiency of decision generation in the operation and maintenance process. This paper designs the construction method of fault knowledge graph of substation main equipment, introduces the traditional construction method of knowledge graph and points out the difficulties, and puts forward the problem of using LLM to complete some tasks in knowledge graph construction to improve the cost and workload. A knowledge graph construction idea based on LLM is conceived (the steps include data cleaning, knowledge acquisition and knowledge refining), a knowledge graph of the main equipment of substation is constructed, and some query scenarios are demonstrated. The feasibility and efficiency of the new method is proved through internal testing and evaluation, and the possible application direction of the graph is prospeced. The system can realize the goal of intelligent fault diagnosis and decision making, so as to improve the efficiency of daily operation, maintenance and management of power grid. © 2024 IEEE.","Knowledge extraction; Knowledge graph; Large language model; Prompt word engineering; substation main equipment","Construction equipment; Decision making; Efficiency; Information management; Knowledge acquisition; Transformer substations; Construction method; Digital transformation; Graph construction; Knowledge extraction; Knowledge graphs; Language model; Large language model; Power grids; Prompt word engineering; Substation main equipment; Knowledge graph","","","Institute of Electrical and Electronics Engineers Inc.","Fuzhou University; IEEE Power and Energy Society","3rd Asia Power and Electrical Technology Conference, APET 2024","2024-11-15 through 2024-11-17","Fuzhou","207126","English","Conference paper","Final","","Scopus","2-s2.0-105000013415"
"Mobarak, M.H.; Mimona, M.A.; Islam, M.A.; Hossain, N.; Zohura, F.T.; Imtiaz, I.; Rimon, Md.I.H.","Mobarak, Md Hosne (58245427600); Mimona, Mariam Akter (58524494600); Islam, Md Aminul (57713920000); Hossain, Nayem (57218319902); Zohura, Fatema Tuz (59016439300); Imtiaz, Ibnul (58727176000); Rimon, Md Israfil Hossain (58729557400)","58245427600; 58524494600; 57713920000; 57218319902; 59016439300; 58727176000; 58729557400","Scope of machine learning in materials research—A review","2023","Applied Surface Science Advances","18","","100523","","","166","10.1016/j.apsadv.2023.100523","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178125565&doi=10.1016%2Fj.apsadv.2023.100523&partnerID=40&md5=cc8c75ddb7bb64239b136593c3cd6262","This comprehensive review investigates the multifaceted applications of machine learning in materials research across six key dimensions, redefining the field's boundaries. It explains various knowledge acquisition mechanisms starting with supervised, unsupervised, reinforcement, and deep learning techniques. These techniques are transformative tools for transforming unactionable data into insightful actions. Moving on to the materials synthesis, the review emphasizes the profound influence of machine learning, as demonstrated by predictive models that speed up material selection, structure-property relationships that reveal crucial connections, and data-driven discovery that fosters innovation. Machine learning reshapes our comprehension and manipulation of materials by accelerating discovery and enabling tailored design through property prediction models and structure-property relationships. Machine learning extends its influence to image processing, improving object detection, classification, and segmentation precision and enabling methods like image generation, revolutionizing the potential of image processing in materials research. The most recent developments show how machine learning can have a transformative impact at the atomic level by enabling precise property prediction and intricate data extraction, representing significant advancements in material understanding and innovation. The review highlights how machine learning has the potential to revolutionize materials research by accelerating discovery, improving performance, and stimulating innovation. It does so while acknowledging obstacles like poor data quality and complicated algorithms. Machine learning offers a wide range of exciting prospects for scientific investigation and technological advancement, positioning it as a powerful force for influencing the future of materials research. © 2023 The Author(s)","Image processing; Machine learning; Machine learning methods; Material synthesis; Materials research","","","","Elsevier B.V.","","","","","","English","Review","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85178125565"
"Fernandez, M.E.; Martínez-Romero, J.; Aon, M.A.; Bernier, M.; Price, N.L.; de Cabo, R.","Fernandez, Maria Emilia (58483775000); Martínez-Romero, Jorge (56657462500); Aon, Miguel Antonio (7003963839); Bernier, Michel (7102843643); Price, Nathan L. (57211330321); de Cabo, Rafael C. (6602763291)","58483775000; 56657462500; 7003963839; 7102843643; 57211330321; 6602763291","How is Big Data reshaping preclinical aging research?","2023","Lab Animal","52","12","","289","314","3","10.1038/s41684-023-01286-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177773794&doi=10.1038%2Fs41684-023-01286-y&partnerID=40&md5=bb611610675864bb97efb6b2a7b96ef9","The exponential scientific and technological progress during the past 30 years has favored the comprehensive characterization of aging processes with their multivariate nature, leading to the advent of Big Data in preclinical aging research. Spanning from molecular omics to organism-level deep phenotyping, Big Data demands large computational resources for storage and analysis, as well as new analytical tools and conceptual frameworks to gain novel insights leading to discovery. Systems biology has emerged as a paradigm that utilizes Big Data to gain insightful information enabling a better understanding of living organisms, visualized as multilayered networks of interacting molecules, cells, tissues and organs at different spatiotemporal scales. In this framework, where aging, health and disease represent emergent states from an evolving dynamic complex system, context given by, for example, strain, sex and feeding times, becomes paramount for defining the biological trajectory of an organism. Using bioinformatics and artificial intelligence, the systems biology approach is leading to remarkable advances in our understanding of the underlying mechanism of aging biology and assisting in creative experimental study designs in animal models. Future in-depth knowledge acquisition will depend on the ability to fully integrate information from different spatiotemporal scales in organisms, which will probably require the adoption of theories and methods from the field of complex systems. Here we review state-of-the-art approaches in preclinical research, with a focus on rodent models, that are leading to conceptual and/or technical advances in leveraging Big Data to understand basic aging biology and its full translational potential. © 2023, This is a U.S. Government work and not under copyright protection in the US; foreign copyright protection may apply.","","aging; artificial intelligence; big data; bioinformatics; conceptual framework; feeding behavior; human; nonhuman; omics; phenotype; review; systems biology; animal; animal model; gerontology; procedures; Animals; Artificial Intelligence; Big Data; Computational Biology; Geroscience; Models, Animal","","","Springer Nature","","","","","","English","Review","Final","","Scopus","2-s2.0-85177773794"
"Chitakunye, R.; Winschiers-Theophilus, H.; De Cauwer, V.; Mukumbira, S.","Chitakunye, Rumbidzai (57226058507); Winschiers-Theophilus, Heike (34880923900); De Cauwer, Vera (12787760700); Mukumbira, Sebastian (34880429500)","57226058507; 34880923900; 12787760700; 34880429500","Developing an ethnobotanical application with and for Ovahimba communities","2023","ACM International Conference Proceeding Series","","","","170","179","6","10.1145/3628096.3629053","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184358850&doi=10.1145%2F3628096.3629053&partnerID=40&md5=ef6fe97c3ff40d3c9a767cbeab7925c7","Passing on of ethnobotanical knowledge orally is becoming a less common practice, thus resulting in knowledge loss for the future generation. Hence, it is crucial to digitally preserve ethnobotanical knowledge. A number of national ethnobotanical databases have been developed across the globe. However, They are mainly used for commercialisation or research purposes without providing access to the original knowledge holders. Moreover the indigenous communities mostly served as informants only not validating the digitalizations. This results in incompleteness, misinterpretations and inaccuracy of the digital data sets. Hence, the main objective of this project was to develop a digital tool with indigenous communities living in Kunene to support the safeguarding of traditional plant knowledge. Following a community-based co-design approach and an iterative prototyping development a mobile ethnographic app was implemented, enabling indigenous communities to collect and curate their own data, which they can then share with external entities. © 2023 ACM.","Codesign; Ethnobotany; Indigenous people; Information Technology; Namibia; Ovahimba; participatory design","Computer programming; Co-designs; Commercialisation; Ethnobotanicals; Ethnobotany; Future generations; Indigenous community; Indigenous people; Namibia; Ovahimbum; Participatory design; Digital devices","","","Association for Computing Machinery","acm In-Cooperation SIGCHI; et al.; LELAPA AI; PAICTA; University of South Africa (UNISA); Walter Sisulu University (WSU) - In pursuit of Excellence","4th African Human Computer Interaction Conference, AfriCHI 2023","2023-11-27 through 2023-12-01","East London","196941","English","Conference paper","Final","","Scopus","2-s2.0-85184358850"
"Yang, S.; Zhu, J.; Wang, J.; Xu, X.; Shao, Z.; Yao, L.; Zheng, B.; Huang, H.","Yang, Shanglin (59123005200); Zhu, Jialin (59123005300); Wang, Jialin (57203720639); Xu, Xiaohan (58069670800); Shao, Zihang (59122152200); Yao, Liwei (59123430000); Zheng, Benchang (57211678777); Huang, Hu (57203038042)","59123005200; 59123005300; 57203720639; 58069670800; 59122152200; 59123430000; 57211678777; 57203038042","Retrieval-Augmented Generation with Quantized Large Language Models: A Comparative Analysis","2023","ACM International Conference Proceeding Series","","","","120","124","3","10.1145/3653081.3653102","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192813473&doi=10.1145%2F3653081.3653102&partnerID=40&md5=4b8bc6788c1c62ada0d2e71248cbefcd","Large language models have demonstrated emergent intelligence and ability to handle a wide array of tasks. However, the reliability of these models in terms of factual accuracy and timely knowledge acquisition remains a challenge. Researchers explore the implementation of retrieval-augmented generation methods, aiming to enhance the authenticity and specificity in knowledge-intensive tasks. This paper discusses the practical application in industrial settings, particularly in assisting design personnel with navigating complex standards and quality manuals. Utilizing an open-source model with 6 billion parameters, the study employs quantization technology for local deployment, addressing computational challenges. The retrieval-augmented generation framework is analyzed, emphasizing the integration of document parsing, vector databases, and text embedding models. Experimental results compare models at different quantization levels, revealing trade-offs between response time, model size, and performance metrics. The findings suggest that 4-bit integer quantization is optimal for standard document retrieval and question-answering tasks, highlighting practical considerations for CPU inference. The paper concludes with insights into hyper-parameter tuning, model comparisons, and future optimizations for enhanced performance in edge device deployments of large language models. © 2023 ACM.","Large language models; Quantization; Retrieval-augmented generation","Computational linguistics; Information retrieval; Comparative analyzes; Generation method; Industrial settings; Knowledge intensive tasks; Language model; Large language model; Open-source model; Quality manual; Quantisation; Retrieval-augmented generation; Economic and social effects","","","Association for Computing Machinery","","5th International Conference on Internet of Things, Automation and Artificial Intelligence, IoTAAI 2023","2023-11-24 through 2023-11-26","Nanchang","199331","English","Conference paper","Final","","Scopus","2-s2.0-85192813473"
"Pratiwi, M.; Wahyu, H.R.; Erwin Normande, B.","Pratiwi, Mirza Ayunda (59461333600); Wahyu, Hidayat R. (58869372500); Erwin Normande, Bob (58754308100)","59461333600; 58869372500; 58754308100","Understanding Knowledge Acquisition, Adaptive Strategies, Challenges, and Preservation Methods Among Traditional Fishermen in a Digital Age","2023","BIO Web of Conferences","70","","05008","","","8","10.1051/bioconf/20237005008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179154259&doi=10.1051%2Fbioconf%2F20237005008&partnerID=40&md5=7e6715bf6e295a8171f816c9c9258658","The Riau Islands (Kepri) province of Indonesia boasts an expansive ocean, covering 96% of its territory and fostering a rich heritage of knowledge and maritime culture among its citizens. Traditional fishing communities on Riau Island have thrived for generations, drawing on ancestral wisdom and local expertise. However, the swift rise of digitalization and modernization has triggered a transformative shift in their learning methods and adaptation strategies. This study focuses on: identifying methods of knowledge acquisition, investigating adaptive strategies, unveiling challenges, and exploring knowledge preservation techniques. Through in-depth interviews with more than two decades of experienced fishermen, qualitative data was gathered and meticulously analyzed using NVivo 12 software. The result found that traditional fishermen employ diverse strategies, integrating technology, continuous learning, and data-driven decision-making. They face challenges like limited internet access, cultural traditions, and safety concerns. Yet they preserve wisdom through oral traditions, apprenticeships, and modern tools, ensuring a vibrant fishing legacy. Their resilience highlights the urgent need for digital adaptation and intergenerational dialogue to shape sustainable and innovative fishing communities. Hence, this study recommend to develop sustainable training initiatives, establish community platforms, formulate policies to enhance digital accessibility, and encourage meaningful conversations across generations within traditional fishing communities. © 2023 BIO Web of Conferences. All rights reserved.","","","","","EDP Sciences","","3rd Maritime Continent Fulcrum International Conference, MaCiFIC 2023","2023-09-29","Hybrid, Tanjungpinang","194700","English","Conference paper","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85179154259"
"Cheng, Z.; Huang, X.","Cheng, Zixuan (57216661664); Huang, Xisheng (58985573100)","57216661664; 58985573100","Service Model of Knowledge Integration Base on Automatic Text Summarization","2023","ACM International Conference Proceeding Series","","","","370","374","0","10.1145/3644523.3644591","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190367874&doi=10.1145%2F3644523.3644591&partnerID=40&md5=110b445f274c142fb03cd4446fca9fa1","With the advent of the era of big data, the number of various knowledge resources has exploded. A series of problems, such as information redundancy and knowledge overload, bring trouble to users ' reading and use. The generation of text knowledge summary can improve the efficiency of user knowledge acquisition and knowledge reuse rate, and realize knowledge integration and orderly organization. This paper integrates automatic text summarization technology into knowledge service. Firstly, a knowledge summary generation method based on improved TextRank algorithm is proposed. Then, the knowledge integration service elements based on automatic text summarization are defined. Finally, a knowledge integration service model based on automatic text summarization is constructed. It provides new methods and new perspectives for the research of knowledge service model. © 2023 ACM.","Automatic Text Summarization; Knowledge Integration; Service Model; User demand","Integration; Automatic text summarization; Information redundancies; Integration services; Knowledge integration; Knowledge resource; Knowledge reuse; Knowledge service; Service modeling; User demands; User knowledge; Text processing","","","Association for Computing Machinery","","4th International Conference on Computer Science and Management Technology, ICCSMT 2023","2023-10-13 through 2023-10-15","Xi'an","198523","English","Conference paper","Final","","Scopus","2-s2.0-85190367874"
"Peng, T.; Li, Y.; Song, Z.; Fu, Y.; Nazir, M.S.; Zhang, C.","Peng, Tian (57193925183); Li, Yiman (57796106400); Song, Zhi Zhen (58477298400); Fu, Yongyan (58194331700); Nazir, Muhammad Shahzad (55206618300); Zhang, Chu (57189325198)","57193925183; 57796106400; 58477298400; 58194331700; 55206618300; 57189325198","Hybrid intelligent deep learning model for solar radiation forecasting using optimal variational mode decomposition and evolutionary deep belief network - Online sequential extreme learning machine","2023","Journal of Building Engineering","76","","107227","","","23","10.1016/j.jobe.2023.107227","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164216027&doi=10.1016%2Fj.jobe.2023.107227&partnerID=40&md5=d59aeb1206ab61749895b3ba643ab095","Accurate prediction of solar radiation is of great significance to improve the utilization of solar energy for photovoltaic power generation on the roofs of urban buildings. Therefore, a hybrid model, namely the OVMD-PACF-ISSA-DBN-OSELM model, is being proposed in this study for solar radiation prediction. Firstly, the data is decomposed by optimal variational mode decomposition (OVMD) technology. Secondly, the partial autocorrelation function (PACF) technology selected features for components decomposed by OVMD technology. Thirdly, a deep belief network-online sequential extreme learning machine (DBN-OSELM) prediction model is constructed, and sparrow search algorithm (SSA) is utilized to optimize the model hyperparameters. Aiming at the shortcomings of SSA algorithm, Tent map and differential evolution strategy are introduced to improve the SSA algorithm. Finally, the model is used to predict each component, and the prediction results of each component are summarized to obtain the prediction results of solar radiation. To verify that the proposed method can obtain accurate prediction results, experiments are conducted using solar radiation data for January, May and October 2022, and compared with other models. Taking January as an example, compared with shallow model BP, the RMSE, MAE and R of the proposed model are increased by 66.83%, 58.65% and 5.33%, respectively. Moreover, the experiments of the proposed model in other months have excellent results. The current findings demonstrate that the suggested model is a strong contender in the arena of solar radiation prediction, and can consequently provide valuable support in enhancing the efficiency of photovoltaic equipment installed on urban building roofs. © 2023 Elsevier Ltd","Deep learning; Online sequential extreme learning machine; Optimal variational mode decomposition; Solar radiation forecasting; Sparrow search algorithm","Deep learning; E-learning; Engineering education; Evolutionary algorithms; Forecasting; Knowledge acquisition; Learning algorithms; Learning systems; Optimization; Roofs; Solar energy; Solar power generation; Solar radiation; Accurate prediction; Deep belief networks; Online sequential extreme learning machine; Optimal variational mode decomposition; Partial autocorrelation function; Search Algorithms; Solar radiation forecasting; Sparrow search algorithm; Urban buildings; Variational mode decomposition","","","Elsevier Ltd","","","","","","English","Article","Final","","Scopus","2-s2.0-85164216027"
"Li, C.; Yang, J.; Lian, H.; Zheng, D.; Lai, Y.; Liu, H.","Li, Changyun (36006752100); Yang, Jingyu (57478180900); Lian, Hongsong (56730084300); Zheng, Dongsheng (56729776100); Lai, Yonghua (57212864339); Liu, Huixin (57212877840)","36006752100; 57478180900; 56730084300; 56729776100; 57212864339; 57212877840","Combined Prediction Method of Dissolved Gas Concentration of Silicone Oil Based on ICEEMDAN-IPSO-ELM; 基于 ICEEMDAN-IPSO-ELM 的硅油溶解气体浓度组合预测方法","2023","Gaodianya Jishu/High Voltage Engineering","49","9","","3887","3897","6","10.13336/j.1003-6520.hve.20221328","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166234390&doi=10.13336%2Fj.1003-6520.hve.20221328&partnerID=40&md5=3ed48a0e9c354a22afafe2e92c0a0cbd","As an important device for transmitting electric energy in the power system, the oil filled terminal of high-voltage cable can reliably predict the concentration of dissolved gas of silicone oil filled in the oil filled terminal, which can provide some supports for the fault diagnosis of silicone oil. Therefore, this paper proposes a prediction model of dissolved gas concentration in silicone oil based on local outlier factor and ICEEMDAN-IPSO-ELM. Firstly, an experimental platform is built to simulate the aging of silicone oil inside the cable terminal, and the concentration sequence of dissolved gas in silicone oil is obtained through chromatographic analysis. Furthermore, the data of the concentration time series of dissolved gas in silicone oil are cleaned, the local outlier detection method is used to judge the abnormal value and make reasonable correction, and then the improved adaptive noise complete set empirical mode decomposition is used to decompose the corrected concentration sequence of dissolved gas in silicone oil. The eigenmode function components with different time scales can effectively reduce the interaction between high and low frequency components. Secondly, aimed at the frequency components with different characteristics, an extreme learning machine network prediction model is built. Aimed at the problem of difficult selection of extreme learning machine model parameters, an improved particle swarm optimization algorithm is used to optimize the weight and threshold parameters of the model, which optimizes the optimization ability of particle swarm optimization method to a certain extent and improves the reliability of combined prediction method. Finally, the predicted content of dissolved gas concentration in silicone oil can be obtained by adding the calculation results of different frequency components. Specific examples show that, compared with other prediction models, this method can be adopted to reliably predict the future trend of dissolved gas content in silicone oil, and provides a strong guarantee for silicone oil fault diagnosis technology. © 2023 Science Press. All rights reserved.","dissolved gas in silicone oil; extreme learning machine; improved adaptive noise complete set empirical mode decomposition; improved particle swarm optimization algorithm; local outlier factor; oil-filled terminals for high-voltage cables","Dissolution; Failure analysis; Fault detection; Forecasting; Gas chromatography; Independent component analysis; Knowledge acquisition; Learning algorithms; Learning systems; Machine learning; Particle swarm optimization (PSO); Silicones; Statistics; Adaptive noise; Complete sets; Dissolved gas; Dissolved gas in silicone oil; Empirical Mode Decomposition; Extreme learning machine; High voltage cable; Improved adaptive noise complete set empirical mode decomposition; Improved particle swarm optimization algorithms; Learning machines; Local Outlier Factor; Oil-filled; Oil-filled terminal for high-voltage cable; Silicone oil; Empirical mode decomposition","","","Science Press","","","","","","Chinese","Article","Final","","Scopus","2-s2.0-85166234390"
"Kumoratih, D.; Aprilia, H.D.; Syaravina, S.; Utoyo, A.W.","Kumoratih, Dewi (57223304921); Aprilia, H. D. (57222721347); Syaravina, Santika (57372050200); Utoyo, Arsa Widitiarsa (57193348397)","57223304921; 57222721347; 57372050200; 57193348397","""My Ancestors were Seafarers!"": New Media Design to Restore Collective Memory of Maritime Cultural Heritage in Public Spaces","2023","E3S Web of Conferences","426","","02034","","","2","10.1051/e3sconf/202342602034","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174589736&doi=10.1051%2Fe3sconf%2F202342602034&partnerID=40&md5=19ef8ea858485c7125dd1052f7af9e62","Design plays a vital role in the process of knowledge production. To foster nationalism and national identity formation, the form uses design as means for public learning in museums and schools. However, history lessons are less desirable and often considered boring. The younger generation has new knowledge acquisition methods along with increasingly advanced technology. This research explores new media design in digital technology as a means of knowledge production. Taking the case of Indonesia, which in recent years has been trying to evoke collective memory as a maritime nation through its cultural heritage, learning about Austronesian speakers who are the maritime ancestors of the Indonesian archipelago in schools is developed as a preliminary study for further development into exhibition materials that can be utilized for community learnings in public spaces. This research uses a visual thinking map facility with a design thinking approach that puts forward ethnographic methods, including literature studies, group discussions, interviews, and participant observations. This study shows that digital technology can generate curiosity and excitement through gamification. Based on these findings, we conclude that the conceptual knowledge production process can be more effective if digital technology's new media design approach also prioritizes aesthetic/sensory experiences. © The Authors, published by EDP Sciences. This is an open access article distributed under the terms of the Creative Commons Attribution License 4.0 (http ://creativecommons.org/licenses/by/4.0/).","","","","","EDP Sciences","","5th International Conference of Biospheric Harmony Advanced Research, ICOBAR 2023","2023-06-27","Jakarta","192921","English","Conference paper","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85174589736"
